BookingReference,CustomerID,BookingDate,Destination,ServiceType,TripType,NumberOfTravelers,Nights,BookingChannel,BookingAmount,Status
BK202301012461,TRVL000661,2023-01-01,"Phuket, Thailand",Cruise,One Way,1,2,Website,10797.49,Confirmed
BK202301019414,TRVL000164,2023-01-01,"Sydney, Australia",Complete Package,One Way,1,7,Mobile App,2610.61,Cancelled
BK202301016279,TRVL000346,2023-01-01,Singapore,Complete Package,One Way,1,16,Travel Agent,6818.86,Confirmed
BK202301019750,TRVL000069,2023-01-01,"Bangkok, Thailand",Cruise,Round Trip,2,20,Travel Agent,20723.08,Confirmed
BK202301016786,TRVL001024,2023-01-01,"Copenhagen, Denmark",Hotel Only,Multi-City,1,3,Website,226.09,Confirmed
BK202301015328,TRVL000436,2023-01-01,"Berlin, Germany",Hotel Only,Round Trip,1,3,Website,551.67,Confirmed
BK202301012626,TRVL000001,2023-01-01,"Prague, Czech Republic",Complete Package,Round Trip,1,8,Website,6304.05,Confirmed
BK202301017985,TRVL000002,2023-01-01,"Amsterdam, Netherlands",Cruise,Round Trip,1,7,Travel Agent,5411.47,Confirmed
BK202301011996,TRVL001222,2023-01-01,"London, UK",Complete Package,Round Trip,2,21,Travel Agent,9641.23,Confirmed
BK202301011896,TRVL000001,2023-01-01,"Prague, Czech Republic",Flight Only,Multi-City,2,0,Phone,1136.2,Confirmed
BK202301012680,TRVL001032,2023-01-01,Maldives,Flight + Hotel,Multi-City,2,16,Website,2423.83,Confirmed
BK202301016206,TRVL000743,2023-01-01,"Cancun, Mexico",Complete Package,One Way,1,17,Mobile App,3058.98,Confirmed
BK202301019000,TRVL001135,2023-01-01,"London, UK",Flight Only,Multi-City,1,0,Mobile App,1275.91,Confirmed
BK202301011760,TRVL000236,2023-01-01,"Dubai, UAE",Complete Package,One Way,3,21,Email,13082.42,Confirmed
BK202301014017,TRVL000679,2023-01-01,"New York, USA",Complete Package,Multi-City,2,10,Travel Agent,12749.54,Confirmed
BK202301019959,TRVL001390,2023-01-01,"Phuket, Thailand",Complete Package,One Way,2,13,Mobile App,12482.0,Cancelled
BK202301013298,TRVL000754,2023-01-01,"Sydney, Australia",Complete Package,Round Trip,3,12,Email,18200.05,Cancelled
BK202301012761,TRVL001966,2023-01-01,"Vienna, Austria",Cruise,One Way,1,9,Website,2284.44,Confirmed
BK202301017874,TRVL000186,2023-01-01,"Istanbul, Turkey",Hotel Only,One Way,2,9,Travel Agent,699.76,Confirmed
BK202301028841,TRVL000733,2023-01-02,"Phuket, Thailand",Flight + Hotel,Multi-City,2,16,Phone,5055.2,Confirmed
BK202301027201,TRVL000198,2023-01-02,"Dubai, UAE",Hotel Only,Multi-City,2,10,Email,700.85,Confirmed
BK202301026048,TRVL001232,2023-01-02,"Dubai, UAE",Hotel Only,One Way,2,16,Email,1324.49,Confirmed
BK202301025240,TRVL000909,2023-01-02,"Santorini, Greece",Complete Package,Multi-City,2,6,Website,15813.17,Confirmed
BK202301022715,TRVL001730,2023-01-02,"Bali, Indonesia",Complete Package,Multi-City,3,17,Travel Agent,4652.82,Confirmed
BK202301027658,TRVL000031,2023-01-02,Singapore,Cruise,Multi-City,2,13,Phone,15801.19,Confirmed
BK202301026022,TRVL000085,2023-01-02,"London, UK",Flight + Hotel,One Way,1,21,Mobile App,990.25,Confirmed
BK202301023634,TRVL000827,2023-01-02,"Dubai, UAE",Complete Package,One Way,1,12,Phone,5133.29,Cancelled
BK202301028291,TRVL001004,2023-01-02,"Rome, Italy",Hotel Only,Round Trip,2,12,Website,1037.17,Confirmed
BK202301021734,TRVL001535,2023-01-02,Switzerland,Flight Only,Multi-City,2,0,Mobile App,2847.72,Cancelled
BK202301022108,TRVL001791,2023-01-02,"Vienna, Austria",Cruise,Round Trip,2,10,Travel Agent,15035.89,Confirmed
BK202301025562,TRVL000935,2023-01-02,"Bali, Indonesia",Hotel Only,Round Trip,1,5,Phone,338.15,Confirmed
BK202301023341,TRVL000951,2023-01-02,"Sydney, Australia",Complete Package,Multi-City,2,21,Phone,5784.83,Confirmed
BK202301027159,TRVL001481,2023-01-02,"Copenhagen, Denmark",Cruise,Round Trip,2,3,Travel Agent,17039.19,Confirmed
BK202301023950,TRVL000275,2023-01-02,"Copenhagen, Denmark",Cruise,Multi-City,1,14,Travel Agent,9177.26,Confirmed
BK202301021834,TRVL001110,2023-01-02,Singapore,Flight Only,Multi-City,1,0,Email,478.75,Confirmed
BK202301023305,TRVL000054,2023-01-02,"Phuket, Thailand",Flight + Hotel,Round Trip,2,7,Travel Agent,5239.71,Confirmed
BK202301021346,TRVL001193,2023-01-02,"Paris, France",Complete Package,Round Trip,1,9,Travel Agent,1683.05,Confirmed
BK202301025216,TRVL000239,2023-01-02,"Barcelona, Spain",Complete Package,Round Trip,2,21,Phone,9440.77,Confirmed
BK202301029361,TRVL000351,2023-01-02,"Amsterdam, Netherlands",Hotel Only,One Way,5,8,Travel Agent,3349.87,Confirmed
BK202301025118,TRVL000046,2023-01-02,"Istanbul, Turkey",Hotel Only,One Way,2,20,Email,267.71,Confirmed
BK202301027950,TRVL000399,2023-01-02,"Bali, Indonesia",Complete Package,One Way,1,14,Website,1993.95,Confirmed
BK202301032788,TRVL001551,2023-01-03,"Tokyo, Japan",Cruise,Multi-City,5,8,Mobile App,47995.92,Confirmed
BK202301032820,TRVL001051,2023-01-03,"Bali, Indonesia",Cruise,One Way,1,19,Phone,8613.13,Confirmed
BK202301038882,TRVL000200,2023-01-03,"Bangkok, Thailand",Flight Only,Round Trip,1,0,Website,281.76,Confirmed
BK202301035967,TRVL001731,2023-01-03,"Paris, France",Cruise,One Way,1,9,Mobile App,8082.36,Cancelled
BK202301037007,TRVL000939,2023-01-03,"Barcelona, Spain",Complete Package,One Way,2,4,Travel Agent,14248.74,Confirmed
BK202301039490,TRVL001237,2023-01-03,"Miami, USA",Cruise,Round Trip,1,9,Mobile App,8966.37,Confirmed
BK202301034125,TRVL000839,2023-01-03,"Istanbul, Turkey",Hotel Only,Multi-City,2,18,Mobile App,666.54,Confirmed
BK202301038255,TRVL000614,2023-01-03,"Cancun, Mexico",Cruise,One Way,2,18,Phone,6435.57,Confirmed
BK202301032039,TRVL000513,2023-01-03,"Amsterdam, Netherlands",Complete Package,One Way,3,2,Mobile App,10835.02,Confirmed
BK202301032346,TRVL000111,2023-01-03,"Miami, USA",Hotel Only,One Way,2,7,Email,767.34,Confirmed
BK202301037481,TRVL000313,2023-01-03,"Tokyo, Japan",Flight + Hotel,Multi-City,4,15,Travel Agent,2859.15,Confirmed
BK202301034687,TRVL000209,2023-01-03,"Sydney, Australia",Flight + Hotel,One Way,1,15,Email,2288.32,Confirmed
BK202301037165,TRVL000025,2023-01-03,"Tokyo, Japan",Flight + Hotel,One Way,1,2,Mobile App,2846.77,Confirmed
BK202301033377,TRVL000016,2023-01-03,"Tokyo, Japan",Hotel Only,One Way,1,3,Website,256.48,Confirmed
BK202301037666,TRVL001567,2023-01-03,"Amsterdam, Netherlands",Flight Only,Round Trip,2,0,Phone,2480.91,Cancelled
BK202301031205,TRVL001647,2023-01-03,Switzerland,Hotel Only,One Way,1,4,Travel Agent,431.01,Confirmed
BK202301035378,TRVL000187,2023-01-03,"Miami, USA",Hotel Only,Multi-City,1,17,Travel Agent,742.24,Cancelled
BK202301033844,TRVL000004,2023-01-03,Iceland,Flight + Hotel,Multi-City,2,11,Travel Agent,6001.02,Confirmed
BK202301031137,TRVL000139,2023-01-03,"Berlin, Germany",Cruise,Multi-City,2,7,Email,6432.29,Confirmed
BK202301037750,TRVL000232,2023-01-03,Iceland,Complete Package,Round Trip,2,18,Phone,13788.01,Confirmed
BK202301031206,TRVL001359,2023-01-03,"Tokyo, Japan",Cruise,One Way,1,11,Phone,4898.17,Confirmed
BK202301031485,TRVL001165,2023-01-03,"Prague, Czech Republic",Cruise,Round Trip,3,15,Travel Agent,37552.16,Confirmed
BK202301032432,TRVL000513,2023-01-03,"London, UK",Flight Only,Multi-City,2,0,Website,2136.91,Confirmed
BK202301038646,TRVL000178,2023-01-03,Singapore,Hotel Only,One Way,2,3,Email,1548.96,Confirmed
BK202301038146,TRVL000048,2023-01-03,"Sydney, Australia",Complete Package,One Way,2,21,Travel Agent,14469.22,Confirmed
BK202301039574,TRVL001906,2023-01-03,"Vienna, Austria",Complete Package,One Way,1,16,Website,4841.43,Confirmed
BK202301032391,TRVL000263,2023-01-03,"Cancun, Mexico",Flight + Hotel,One Way,2,8,Travel Agent,4399.5,Confirmed
BK202301033348,TRVL000099,2023-01-03,"Bangkok, Thailand",Flight Only,One Way,6,0,Mobile App,8741.82,Confirmed
BK202301036515,TRVL001511,2023-01-03,"Bali, Indonesia",Complete Package,Round Trip,1,9,Mobile App,5149.19,Confirmed
BK202301049207,TRVL000658,2023-01-04,"Los Angeles, USA",Cruise,One Way,2,16,Phone,18297.18,Confirmed
BK202301047743,TRVL000103,2023-01-04,"Santorini, Greece",Flight + Hotel,One Way,2,20,Phone,3971.43,Confirmed
BK202301049033,TRVL000461,2023-01-04,"Rome, Italy",Cruise,One Way,2,13,Email,18904.64,Confirmed
BK202301046880,TRVL000600,2023-01-04,"Cancun, Mexico",Complete Package,Multi-City,5,11,Phone,11560.27,Confirmed
BK202301049964,TRVL001319,2023-01-04,Singapore,Complete Package,One Way,1,18,Mobile App,4559.74,Confirmed
